IP,Port,Vulnerabilities
122.56.170.213,80,"CVE-2012-0021, CVE-2018-10549, CVE-2018-10548, CVE-2010-4645, CVE-2018-10545, CVE-2014-0118, CVE-2018-10546, CVE-2015-8874, CVE-2017-7272, CVE-2017-9798, CVE-2015-0231, CVE-2015-0232, CVE-2016-7416, CVE-2015-3183, CVE-2018-14883, CVE-2011-2202, CVE-2016-5094, CVE-2018-17082, CVE-2022-28330, CVE-2013-4248, CVE-2010-1861, CVE-2010-1860, CVE-2010-1862, CVE-2016-7418, CVE-2010-1864, CVE-2016-7414, CVE-2010-1868, CVE-2014-2497, CVE-2016-3141, CVE-2016-7411, CVE-2016-7412, CVE-2016-7413, CVE-2011-1468, CVE-2011-1469, CVE-2011-0421, CVE-2012-2688, CVE-2012-2687, CVE-2011-1466, CVE-2017-7679, CVE-2011-1464, CVE-2011-3182, CVE-2010-2097, CVE-2016-5773, CVE-2013-6438, CVE-2016-5771, CVE-2016-5770, CVE-2015-8935, CVE-2018-20783, CVE-2013-6501, CVE-2015-4147, CVE-2015-8835, CVE-2012-0057, CVE-2019-9641, CVE-2017-3167, CVE-2012-0053, CVE-2006-7243, CVE-2012-0883, CVE-2017-3169, CVE-2016-4070, CVE-2016-9138, CVE-2016-2554, CVE-2015-4024, CVE-2021-44790, CVE-2018-14851, CVE-2011-3639, CVE-2017-7890, CVE-2015-4602, CVE-2015-4600, CVE-2019-9637, CVE-2015-4026, CVE-2015-8873, CVE-2016-4975, CVE-2013-1824, CVE-2015-4116, CVE-2010-3710, CVE-2014-9427, CVE-2022-22719, CVE-2016-6174, CVE-2016-9935, CVE-2015-4605, CVE-2011-1148, CVE-2022-31628, CVE-2022-31629, CVE-2014-2020, CVE-2015-2783, CVE-2016-5768, CVE-2015-2787, CVE-2021-34798, CVE-2013-6420, CVE-2015-6831, CVE-2015-6832, CVE-2015-6833, CVE-2015-6834, CVE-2014-3668, CVE-2010-2484, CVE-2015-6837, CVE-2015-6838, CVE-2014-0098, CVE-2011-3348, CVE-2015-3411, CVE-2018-19396, CVE-2017-11143, CVE-2017-11142, CVE-2017-11145, CVE-2017-11144, CVE-2012-2143, CVE-2010-3870, CVE-2012-1171, CVE-2014-0207, CVE-2012-0831, CVE-2012-1172, CVE-2013-5704, CVE-2019-9639, CVE-2010-3709, CVE-2010-4409, CVE-2022-31813, CVE-2016-1903, CVE-2013-7327, CVE-2013-1635, CVE-2018-7584, CVE-2007-1581, CVE-2010-2531, CVE-2015-4601, CVE-2011-1939, CVE-2015-4603, CVE-2012-3365, CVE-2011-1398, CVE-2011-1153, CVE-2015-4604, CVE-2014-3597, CVE-2012-3450, CVE-2011-4718, CVE-2016-6294, CVE-2012-2311, CVE-2014-0237, CVE-2014-0236, CVE-2014-9652, CVE-2011-0419, CVE-2010-1917, CVE-2014-8142, CVE-2016-4543, CVE-2016-4542, CVE-2016-4541, CVE-2016-4540, CVE-2017-7963, CVE-2014-3515, CVE-2014-0238, CVE-2016-5399, CVE-2013-4635, CVE-2019-9020, CVE-2019-9021, CVE-2019-9024, CVE-2019-9638, CVE-2013-1643, CVE-2022-30556, CVE-2011-3192, CVE-2021-39275, CVE-2015-6835, CVE-2016-6290, CVE-2016-7417, CVE-2016-6295, CVE-2016-4343, CVE-2016-6297, CVE-2016-6296, CVE-2014-9705, CVE-2014-3587, CVE-2015-1351, CVE-2015-1352, CVE-2018-19520, CVE-2022-29404, CVE-2015-8865, CVE-2007-4658, CVE-2016-3185, CVE-2016-10712, CVE-2012-4557, CVE-2015-5589, CVE-2015-6836, CVE-2015-0273, CVE-2012-4558, CVE-2016-10397, CVE-2014-4670, CVE-2014-3669, CVE-2011-1092, CVE-2014-0226, CVE-2013-6712, CVE-2016-10161, CVE-2016-7130, CVE-2016-5093, CVE-2010-4697, CVE-2022-22721, CVE-2022-22720, CVE-2011-0708, CVE-2015-4598, CVE-2018-10547, CVE-2016-5769, CVE-2010-4657, CVE-2015-3307, CVE-2014-3981, CVE-2010-4699, CVE-2016-5387, CVE-2017-9224, CVE-2015-4599, CVE-2021-40438, CVE-2015-5590, CVE-2010-2101, CVE-2010-2100, CVE-2016-7132, CVE-2016-6288, CVE-2016-6289, CVE-2015-8994, CVE-2016-7129, CVE-2014-3478, CVE-2018-1301, CVE-2018-1302, CVE-2018-1303, CVE-2010-3436, CVE-2011-2483, CVE-2016-3142, CVE-2016-5096, CVE-2015-8879, CVE-2015-9253, CVE-2014-9653, CVE-2015-4021, CVE-2012-1823, CVE-2015-8838, CVE-2015-4022, CVE-2015-4025, CVE-2014-0231, CVE-2011-3267, CVE-2014-9425, CVE-2017-9226, CVE-2013-1862, CVE-2014-9426, CVE-2016-10158, CVE-2016-10159, CVE-2014-3670, CVE-2011-1467, CVE-2012-2376, CVE-2010-4698, CVE-2016-8743, CVE-2010-1130, CVE-2018-15132, CVE-2014-3480, CVE-2016-7124, CVE-2016-7125, CVE-2010-3065, CVE-2016-7127, CVE-2016-7478, CVE-2011-4885, CVE-2011-0753, CVE-2011-0752, CVE-2016-6291, CVE-2016-7128, CVE-2015-4148, CVE-2011-0755, CVE-2011-0754, CVE-2009-4418, CVE-2014-3487, CVE-2017-11628, CVE-2014-2270, CVE-2017-12933, CVE-2010-2190, CVE-2010-2191, CVE-2011-3268, CVE-2016-5772, CVE-2014-9767, CVE-2015-2331, CVE-2013-1896, CVE-2016-8612, CVE-2016-4342, CVE-2019-9023, CVE-2012-2336, CVE-2016-4538, CVE-2016-4539, CVE-2016-7126, CVE-2016-5095, CVE-2016-6292, CVE-2015-3329, CVE-2016-9137, CVE-2018-19395, CVE-2015-3330, CVE-2022-37436, CVE-2016-7131, CVE-2014-9912, CVE-2017-16642, CVE-2013-2110, CVE-2016-5114, CVE-2012-3499, CVE-2012-0031, CVE-2016-9934, CVE-2008-0455, CVE-2017-9788, CVE-2010-4150, CVE-2015-4644, CVE-2015-3412, CVE-2012-2386, CVE-2015-4643, CVE-2015-4642, CVE-2007-3799, CVE-2015-0228, CVE-2015-7803, CVE-2015-7804, CVE-2014-3479, CVE-2014-5459, CVE-2015-2348, CVE-2016-4537, CVE-2006-20001, CVE-2010-2225, CVE-2012-0789, CVE-2012-0788, CVE-2011-1470, CVE-2022-28615, CVE-2022-28614, CVE-2015-8877"
122.56.79.39,179,
122.56.171.177,554,
210.55.77.33,80,
219.88.224.65,179,
122.56.77.55,179,
210.55.77.59,443,
210.55.227.81,179,
219.88.226.223,179,
210.55.78.147,179,
210.55.228.137,179,
219.88.225.19,80,
122.56.168.185,179,
122.56.77.195,443,"CVE-2022-26377, CVE-2020-11985, CVE-2022-31628, CVE-2022-31629, CVE-2006-20001, CVE-2017-7679, CVE-2022-28614, CVE-2020-1934, CVE-2018-17189, CVE-2016-0736, CVE-2022-29404, CVE-2018-1312, CVE-2018-15132, CVE-2018-19396, CVE-2018-1333, CVE-2022-22720, CVE-2018-11763, CVE-2022-28330, CVE-2020-11993, CVE-2018-19520, CVE-2019-10081, CVE-2018-19395, CVE-2018-19935, CVE-2019-9023, CVE-2019-0217, CVE-2019-0196, CVE-2019-9020, CVE-2022-22721, CVE-2019-0211, CVE-2019-10092, CVE-2019-9639, CVE-2019-9021, CVE-2019-17567, CVE-2017-15715, CVE-2022-31813, CVE-2019-10098, CVE-2022-37436, CVE-2019-9637, CVE-2016-5387, CVE-2021-40438, CVE-2022-30556, CVE-2018-20783, CVE-2021-34798, CVE-2019-9024, CVE-2022-23943, CVE-2020-1927, CVE-2018-17199, CVE-2018-14883, CVE-2017-9788, CVE-2017-7272, CVE-2017-15710, CVE-2018-1301, CVE-2018-1302, CVE-2018-1303, CVE-2017-3167, CVE-2017-9798, CVE-2023-25690, CVE-2017-3169, CVE-2020-9490, CVE-2015-9253, CVE-2016-2161, CVE-2021-33193, CVE-2021-44790, CVE-2018-14851, CVE-2019-9641, CVE-2021-26690, CVE-2021-26691, CVE-2018-17082, CVE-2019-0220, CVE-2017-7963, CVE-2018-19518, CVE-2016-4975, CVE-2020-13938, CVE-2019-9517, CVE-2018-1283, CVE-2019-10082, CVE-2016-8740, CVE-2016-8743, CVE-2021-44224, CVE-2019-9638, CVE-2021-39275, CVE-2022-28615, CVE-2020-35452, CVE-2022-36760, CVE-2022-22719"
122.56.74.93,179,
122.56.85.223,443,
210.55.72.239,443,"CVE-2019-11039, CVE-2019-11038, CVE-2022-31628, CVE-2022-31629, CVE-2019-13224, CVE-2019-11042, CVE-2019-11043, CVE-2019-11040, CVE-2019-11041"
219.88.225.159,443,
122.56.75.37,179,
210.55.78.119,179,
122.56.76.35,179,
122.56.169.55,179,
219.88.226.63,179,
219.88.225.51,179,
122.56.170.99,179,
122.56.75.199,554,
122.56.79.25,80,
122.56.169.225,80,
210.55.228.21,179,
122.56.77.75,80,"CVE-2012-0021, CVE-2018-10549, CVE-2018-10548, CVE-2010-4645, CVE-2018-10545, CVE-2014-0118, CVE-2018-10546, CVE-2015-8874, CVE-2017-7272, CVE-2017-9798, CVE-2015-0231, CVE-2015-0232, CVE-2016-7416, CVE-2015-3183, CVE-2018-14883, CVE-2011-2202, CVE-2016-5094, CVE-2018-17082, CVE-2022-28330, CVE-2013-4248, CVE-2010-1861, CVE-2010-1860, CVE-2010-1862, CVE-2016-7418, CVE-2010-1864, CVE-2016-7414, CVE-2010-1868, CVE-2014-2497, CVE-2016-3141, CVE-2016-7411, CVE-2016-7412, CVE-2016-7413, CVE-2011-1468, CVE-2011-1469, CVE-2011-0421, CVE-2012-2688, CVE-2012-2687, CVE-2011-1466, CVE-2017-7679, CVE-2011-1464, CVE-2011-3182, CVE-2010-2097, CVE-2016-5773, CVE-2013-6438, CVE-2016-5771, CVE-2016-5770, CVE-2015-8935, CVE-2018-20783, CVE-2013-6501, CVE-2015-4147, CVE-2015-8835, CVE-2012-0057, CVE-2019-9641, CVE-2017-3167, CVE-2012-0053, CVE-2006-7243, CVE-2012-0883, CVE-2017-3169, CVE-2016-4070, CVE-2016-9138, CVE-2016-2554, CVE-2015-4024, CVE-2021-44790, CVE-2018-14851, CVE-2011-3639, CVE-2017-7890, CVE-2015-4602, CVE-2015-4600, CVE-2019-9637, CVE-2015-4026, CVE-2015-8873, CVE-2016-4975, CVE-2013-1824, CVE-2015-4116, CVE-2010-3710, CVE-2014-9427, CVE-2022-22719, CVE-2016-6174, CVE-2016-9935, CVE-2015-4605, CVE-2011-1148, CVE-2022-31628, CVE-2022-31629, CVE-2014-2020, CVE-2015-2783, CVE-2016-5768, CVE-2015-2787, CVE-2021-34798, CVE-2013-6420, CVE-2015-6831, CVE-2015-6832, CVE-2015-6833, CVE-2015-6834, CVE-2014-3668, CVE-2010-2484, CVE-2015-6837, CVE-2015-6838, CVE-2014-0098, CVE-2011-3348, CVE-2015-3411, CVE-2018-19396, CVE-2017-11143, CVE-2017-11142, CVE-2017-11145, CVE-2017-11144, CVE-2012-2143, CVE-2010-3870, CVE-2012-1171, CVE-2014-0207, CVE-2012-0831, CVE-2012-1172, CVE-2013-5704, CVE-2019-9639, CVE-2010-3709, CVE-2010-4409, CVE-2022-31813, CVE-2016-1903, CVE-2013-7327, CVE-2013-1635, CVE-2018-7584, CVE-2007-1581, CVE-2010-2531, CVE-2015-4601, CVE-2011-1939, CVE-2015-4603, CVE-2012-3365, CVE-2011-1398, CVE-2011-1153, CVE-2015-4604, CVE-2014-3597, CVE-2012-3450, CVE-2011-4718, CVE-2016-6294, CVE-2012-2311, CVE-2014-0237, CVE-2014-0236, CVE-2014-9652, CVE-2011-0419, CVE-2010-1917, CVE-2014-8142, CVE-2016-4543, CVE-2016-4542, CVE-2016-4541, CVE-2016-4540, CVE-2017-7963, CVE-2014-3515, CVE-2014-0238, CVE-2016-5399, CVE-2013-4635, CVE-2019-9020, CVE-2019-9021, CVE-2019-9024, CVE-2019-9638, CVE-2013-1643, CVE-2022-30556, CVE-2011-3192, CVE-2021-39275, CVE-2015-6835, CVE-2016-6290, CVE-2016-7417, CVE-2016-6295, CVE-2016-4343, CVE-2016-6297, CVE-2016-6296, CVE-2014-9705, CVE-2014-3587, CVE-2015-1351, CVE-2015-1352, CVE-2018-19520, CVE-2022-29404, CVE-2015-8865, CVE-2007-4658, CVE-2016-3185, CVE-2016-10712, CVE-2012-4557, CVE-2015-5589, CVE-2015-6836, CVE-2015-0273, CVE-2012-4558, CVE-2016-10397, CVE-2014-4670, CVE-2014-3669, CVE-2011-1092, CVE-2014-0226, CVE-2013-6712, CVE-2016-10161, CVE-2016-7130, CVE-2016-5093, CVE-2010-4697, CVE-2022-22721, CVE-2022-22720, CVE-2011-0708, CVE-2015-4598, CVE-2018-10547, CVE-2016-5769, CVE-2010-4657, CVE-2015-3307, CVE-2014-3981, CVE-2010-4699, CVE-2016-5387, CVE-2017-9224, CVE-2015-4599, CVE-2021-40438, CVE-2015-5590, CVE-2010-2101, CVE-2010-2100, CVE-2016-7132, CVE-2016-6288, CVE-2016-6289, CVE-2015-8994, CVE-2016-7129, CVE-2014-3478, CVE-2018-1301, CVE-2018-1302, CVE-2018-1303, CVE-2010-3436, CVE-2011-2483, CVE-2016-3142, CVE-2016-5096, CVE-2015-8879, CVE-2015-9253, CVE-2014-9653, CVE-2015-4021, CVE-2012-1823, CVE-2015-8838, CVE-2015-4022, CVE-2015-4025, CVE-2014-0231, CVE-2011-3267, CVE-2014-9425, CVE-2017-9226, CVE-2013-1862, CVE-2014-9426, CVE-2016-10158, CVE-2016-10159, CVE-2014-3670, CVE-2011-1467, CVE-2012-2376, CVE-2010-4698, CVE-2016-8743, CVE-2010-1130, CVE-2018-15132, CVE-2014-3480, CVE-2016-7124, CVE-2016-7125, CVE-2010-3065, CVE-2016-7127, CVE-2016-7478, CVE-2011-4885, CVE-2011-0753, CVE-2011-0752, CVE-2016-6291, CVE-2016-7128, CVE-2015-4148, CVE-2011-0755, CVE-2011-0754, CVE-2009-4418, CVE-2014-3487, CVE-2017-11628, CVE-2014-2270, CVE-2017-12933, CVE-2010-2190, CVE-2010-2191, CVE-2011-3268, CVE-2016-5772, CVE-2014-9767, CVE-2015-2331, CVE-2013-1896, CVE-2016-8612, CVE-2016-4342, CVE-2019-9023, CVE-2012-2336, CVE-2016-4538, CVE-2016-4539, CVE-2016-7126, CVE-2016-5095, CVE-2016-6292, CVE-2015-3329, CVE-2016-9137, CVE-2018-19395, CVE-2015-3330, CVE-2022-37436, CVE-2016-7131, CVE-2014-9912, CVE-2017-16642, CVE-2013-2110, CVE-2016-5114, CVE-2012-3499, CVE-2012-0031, CVE-2016-9934, CVE-2008-0455, CVE-2017-9788, CVE-2010-4150, CVE-2015-4644, CVE-2015-3412, CVE-2012-2386, CVE-2015-4643, CVE-2015-4642, CVE-2007-3799, CVE-2015-0228, CVE-2015-7803, CVE-2015-7804, CVE-2014-3479, CVE-2014-5459, CVE-2015-2348, CVE-2016-4537, CVE-2006-20001, CVE-2010-2225, CVE-2012-0789, CVE-2012-0788, CVE-2011-1470, CVE-2022-28615, CVE-2022-28614, CVE-2015-8877"
122.56.75.29,179,
210.55.228.183,179,
122.56.76.59,443,
219.88.225.39,179,
122.56.74.149,179,
122.56.63.212,443,
122.56.171.69,80,
122.56.75.203,179,
122.56.171.247,443,
122.56.78.23,179,
122.56.77.179,179,
122.56.171.209,443,
122.56.77.225,179,
219.88.225.35,80,"CVE-2012-0021, CVE-2018-10549, CVE-2018-10548, CVE-2010-4645, CVE-2018-10545, CVE-2014-0118, CVE-2018-10546, CVE-2015-8874, CVE-2017-7272, CVE-2017-9798, CVE-2015-0231, CVE-2015-0232, CVE-2016-7416, CVE-2015-3183, CVE-2018-14883, CVE-2011-2202, CVE-2016-5094, CVE-2018-17082, CVE-2022-28330, CVE-2013-4248, CVE-2010-1861, CVE-2010-1860, CVE-2010-1862, CVE-2016-7418, CVE-2010-1864, CVE-2016-7414, CVE-2010-1868, CVE-2014-2497, CVE-2016-3141, CVE-2016-7411, CVE-2016-7412, CVE-2016-7413, CVE-2011-1468, CVE-2011-1469, CVE-2011-0421, CVE-2012-2688, CVE-2012-2687, CVE-2011-1466, CVE-2017-7679, CVE-2011-1464, CVE-2011-3182, CVE-2010-2097, CVE-2016-5773, CVE-2013-6438, CVE-2016-5771, CVE-2016-5770, CVE-2015-8935, CVE-2018-20783, CVE-2013-6501, CVE-2015-4147, CVE-2015-8835, CVE-2012-0057, CVE-2019-9641, CVE-2017-3167, CVE-2012-0053, CVE-2006-7243, CVE-2012-0883, CVE-2017-3169, CVE-2016-4070, CVE-2016-9138, CVE-2016-2554, CVE-2015-4024, CVE-2021-44790, CVE-2018-14851, CVE-2011-3639, CVE-2017-7890, CVE-2015-4602, CVE-2015-4600, CVE-2019-9637, CVE-2015-4026, CVE-2015-8873, CVE-2016-4975, CVE-2013-1824, CVE-2015-4116, CVE-2010-3710, CVE-2014-9427, CVE-2022-22719, CVE-2016-6174, CVE-2016-9935, CVE-2015-4605, CVE-2011-1148, CVE-2022-31628, CVE-2022-31629, CVE-2014-2020, CVE-2015-2783, CVE-2016-5768, CVE-2015-2787, CVE-2021-34798, CVE-2013-6420, CVE-2015-6831, CVE-2015-6832, CVE-2015-6833, CVE-2015-6834, CVE-2014-3668, CVE-2010-2484, CVE-2015-6837, CVE-2015-6838, CVE-2014-0098, CVE-2011-3348, CVE-2015-3411, CVE-2018-19396, CVE-2017-11143, CVE-2017-11142, CVE-2017-11145, CVE-2017-11144, CVE-2012-2143, CVE-2010-3870, CVE-2012-1171, CVE-2014-0207, CVE-2012-0831, CVE-2012-1172, CVE-2013-5704, CVE-2019-9639, CVE-2010-3709, CVE-2010-4409, CVE-2022-31813, CVE-2016-1903, CVE-2013-7327, CVE-2013-1635, CVE-2018-7584, CVE-2007-1581, CVE-2010-2531, CVE-2015-4601, CVE-2011-1939, CVE-2015-4603, CVE-2012-3365, CVE-2011-1398, CVE-2011-1153, CVE-2015-4604, CVE-2014-3597, CVE-2012-3450, CVE-2011-4718, CVE-2016-6294, CVE-2012-2311, CVE-2014-0237, CVE-2014-0236, CVE-2014-9652, CVE-2011-0419, CVE-2010-1917, CVE-2014-8142, CVE-2016-4543, CVE-2016-4542, CVE-2016-4541, CVE-2016-4540, CVE-2017-7963, CVE-2014-3515, CVE-2014-0238, CVE-2016-5399, CVE-2013-4635, CVE-2019-9020, CVE-2019-9021, CVE-2019-9024, CVE-2019-9638, CVE-2013-1643, CVE-2022-30556, CVE-2011-3192, CVE-2021-39275, CVE-2015-6835, CVE-2016-6290, CVE-2016-7417, CVE-2016-6295, CVE-2016-4343, CVE-2016-6297, CVE-2016-6296, CVE-2014-9705, CVE-2014-3587, CVE-2015-1351, CVE-2015-1352, CVE-2018-19520, CVE-2022-29404, CVE-2015-8865, CVE-2007-4658, CVE-2016-3185, CVE-2016-10712, CVE-2012-4557, CVE-2015-5589, CVE-2015-6836, CVE-2015-0273, CVE-2012-4558, CVE-2016-10397, CVE-2014-4670, CVE-2014-3669, CVE-2011-1092, CVE-2014-0226, CVE-2013-6712, CVE-2016-10161, CVE-2016-7130, CVE-2016-5093, CVE-2010-4697, CVE-2022-22721, CVE-2022-22720, CVE-2011-0708, CVE-2015-4598, CVE-2018-10547, CVE-2016-5769, CVE-2010-4657, CVE-2015-3307, CVE-2014-3981, CVE-2010-4699, CVE-2016-5387, CVE-2017-9224, CVE-2015-4599, CVE-2021-40438, CVE-2015-5590, CVE-2010-2101, CVE-2010-2100, CVE-2016-7132, CVE-2016-6288, CVE-2016-6289, CVE-2015-8994, CVE-2016-7129, CVE-2014-3478, CVE-2018-1301, CVE-2018-1302, CVE-2018-1303, CVE-2010-3436, CVE-2011-2483, CVE-2016-3142, CVE-2016-5096, CVE-2015-8879, CVE-2015-9253, CVE-2014-9653, CVE-2015-4021, CVE-2012-1823, CVE-2015-8838, CVE-2015-4022, CVE-2015-4025, CVE-2014-0231, CVE-2011-3267, CVE-2014-9425, CVE-2017-9226, CVE-2013-1862, CVE-2014-9426, CVE-2016-10158, CVE-2016-10159, CVE-2014-3670, CVE-2011-1467, CVE-2012-2376, CVE-2010-4698, CVE-2016-8743, CVE-2010-1130, CVE-2018-15132, CVE-2014-3480, CVE-2016-7124, CVE-2016-7125, CVE-2010-3065, CVE-2016-7127, CVE-2016-7478, CVE-2011-4885, CVE-2011-0753, CVE-2011-0752, CVE-2016-6291, CVE-2016-7128, CVE-2015-4148, CVE-2011-0755, CVE-2011-0754, CVE-2009-4418, CVE-2014-3487, CVE-2017-11628, CVE-2014-2270, CVE-2017-12933, CVE-2010-2190, CVE-2010-2191, CVE-2011-3268, CVE-2016-5772, CVE-2014-9767, CVE-2015-2331, CVE-2013-1896, CVE-2016-8612, CVE-2016-4342, CVE-2019-9023, CVE-2012-2336, CVE-2016-4538, CVE-2016-4539, CVE-2016-7126, CVE-2016-5095, CVE-2016-6292, CVE-2015-3329, CVE-2016-9137, CVE-2018-19395, CVE-2015-3330, CVE-2022-37436, CVE-2016-7131, CVE-2014-9912, CVE-2017-16642, CVE-2013-2110, CVE-2016-5114, CVE-2012-3499, CVE-2012-0031, CVE-2016-9934, CVE-2008-0455, CVE-2017-9788, CVE-2010-4150, CVE-2015-4644, CVE-2015-3412, CVE-2012-2386, CVE-2015-4643, CVE-2015-4642, CVE-2007-3799, CVE-2015-0228, CVE-2015-7803, CVE-2015-7804, CVE-2014-3479, CVE-2014-5459, CVE-2015-2348, CVE-2016-4537, CVE-2006-20001, CVE-2010-2225, CVE-2012-0789, CVE-2012-0788, CVE-2011-1470, CVE-2022-28615, CVE-2022-28614, CVE-2015-8877"
122.56.79.199,179,
122.56.78.187,179,
122.56.77.191,443,"CVE-2022-26377, CVE-2020-11985, CVE-2022-31628, CVE-2022-31629, CVE-2006-20001, CVE-2017-7679, CVE-2022-28614, CVE-2020-1934, CVE-2018-17189, CVE-2016-0736, CVE-2022-29404, CVE-2018-1312, CVE-2018-15132, CVE-2018-19396, CVE-2018-1333, CVE-2022-22720, CVE-2018-11763, CVE-2022-28330, CVE-2020-11993, CVE-2018-19520, CVE-2019-10081, CVE-2018-19395, CVE-2018-19935, CVE-2019-9023, CVE-2019-0217, CVE-2019-0196, CVE-2019-9020, CVE-2022-22721, CVE-2019-0211, CVE-2019-10092, CVE-2019-9639, CVE-2019-9021, CVE-2019-17567, CVE-2017-15715, CVE-2022-31813, CVE-2019-10098, CVE-2022-37436, CVE-2019-9637, CVE-2016-5387, CVE-2021-40438, CVE-2022-30556, CVE-2018-20783, CVE-2021-34798, CVE-2019-9024, CVE-2022-23943, CVE-2020-1927, CVE-2018-17199, CVE-2018-14883, CVE-2017-9788, CVE-2017-7272, CVE-2017-15710, CVE-2018-1301, CVE-2018-1302, CVE-2018-1303, CVE-2017-3167, CVE-2017-9798, CVE-2023-25690, CVE-2017-3169, CVE-2020-9490, CVE-2015-9253, CVE-2016-2161, CVE-2021-33193, CVE-2021-44790, CVE-2018-14851, CVE-2019-9641, CVE-2021-26690, CVE-2021-26691, CVE-2018-17082, CVE-2019-0220, CVE-2017-7963, CVE-2018-19518, CVE-2016-4975, CVE-2020-13938, CVE-2019-9517, CVE-2018-1283, CVE-2019-10082, CVE-2016-8740, CVE-2016-8743, CVE-2021-44224, CVE-2019-9638, CVE-2021-39275, CVE-2022-28615, CVE-2020-35452, CVE-2022-36760, CVE-2022-22719"
